Commodity,Geolocation,Annual 1990,Annual 1991,Annual 1992,Annual 1993,Annual 1994,Annual 1995,Annual 1996,Annual 1997,Annual 1998,Annual 1999,Annual 2000,Annual 2001,Annual 2002,Annual 2003,Annual 2004,Annual 2005,Annual 2006,Annual 2007,Annual 2008,Annual 2009,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018,Annual 2019
Pork,REGION XII (SOCCSKSARGEN),39.64,36.55,35.61,31.35,36.72,3.54,37.1,35.8,36.37,35.02,34.73,0.34,33.54,32.01,33.39,34.28,34.02,34.93,34.81,35.62,35.74,35.72,34.9,37.12,37.65,36.15,36.35,38.01,39.32,34.84
Pork,REGION XIII (CARAGA),3.56,3.47,3.51,32.99,31.01,30.37,31.36,32.4,31.35,31.13,3.18,31.02,3.19,29.96,31.36,32.95,33.24,33.29,33.4,3.25,35.04,35.16,3.6,34.76,33.3,33.6,34.17,33.48,33.89,33.95
Pork,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),35.42,36.32,32.67,35.83,4.43,2.69,0,0,0,0,4.17,43.48,38.89,31.15,37.8,36.98,36.76,37.91,38.31,47.64,43.62,45.06,3.98,37.66,39.21,34.81,33.56,36.85,35.25,3.67
Egg,PHILIPPINES,105.71,94.95,..,100.46,94.19,90.76,90.73,90.62,93.33,92.23,83.28,89.75,91.69,95.71,93.66,92.86,92.56,92.43,106.49,105.08,99.38,104.4,108.44,111.78,111.36,104.76,104.43,106.59,108.71,98.52
Egg,NATIONAL CAPITAL REGION (NCR),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Egg,CORDILLERA ADMINISTRATIVE REGION (CAR),102.06,100.85,..,126.86,117.46,96.15,91.91,95.62,89.64,99.12,104.49,94.29,89.14,..,88.8,..,88.6,94.06,95.01,89.96,90.43,92.48,92.89,90.06,88.7,86.91,91.65,89.57,94.49,..
Egg,REGION I (ILOCOS REGION),100.57,93.69,..,102.24,95.08,94.61,88.98,86.54,91.89,97.55,104.98,94.77,93.5,95.14,100.8,102.68,103.64,108.57,111.86,119.45,131.47,137.15,139.83,141.94,129.34,118.2,122.81,117.68,121.31,..
Egg,REGION II (CAGAYAN VALLEY),95.56,85.27,..,98.22,87.5,84.49,85.77,89.84,81.67,91.41,91.95,89.88,78.63,73.96,93.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Egg,REGION III (CENTRAL LUZON),130.12,99.54,..,96.46,110.25,120.17,102.08,113.77,100.35,69.75,69.67,103.86,104.69,93.64,95.83,..,..,..,..,..,..,..,88.45,..,..,..,..,..,..,..
Egg,REGION IV-A (CALABARZON),..,89.37,..,75.81,97.29,91.89,89.13,91.63,94.74,93.29,95.75,88,92.69,98.99,87.05,94.93,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Egg,MIMAROPA REGION,104.05,90.58,..,86.21,98.41,95.14,116.73,107.87,..,..,90.27,87.69,87.89,..,..,..,86.8,76.34,88.79,90.91,88.67,98.98,97.15,96.34,98.47,100.54,100.18,102.49,106.51,109.34
Egg,REGION V (BICOL REGION),104.14,86.45,..,92.74,92.53,87.03,87.89,99.25,100.69,105.76,104.78,85.08,87.19,104.14,87.28,87.25,83.6,76.5,81.63,87.61,92.99,93.52,96.6,96.66,92.16,93.86,99.08,98.59,..,..
Egg,REGION VI (WESTERN VISAYAS),107.1,114.8,..,101.92,99.57,100.44,100.42,95.58,83.45,90.33,101.74,81.45,85.76,88.01,91.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Egg,REGION VII (CENTRAL VISAYAS),100.64,101.63,..,93.63,89.18,101.36,95.88,97.23,99.26,96.39,108.92,94.52,98.98,105.44,93.33,103.14,100.26,100.93,105.27,..,..,..,..,..,..,..,..,..,..,..
Egg,REGION VIII (EASTERN VISAYAS),104.89,98.62,..,100.86,90.49,96.15,99.27,95.49,103.11,100.32,92.01,104.64,103.65,99.7,82.26,88.3,85.78,78.74,89.57,87.28,90.58,90.11,92.72,96.56,105.81,90.98,84.2,83.33,81.64,82.51
Egg,REGION IX (ZAMBOANGA PENINSULA),102.3,100,..,102.27,106.07,99.16,95.75,91.76,97.45,89.23,98.57,91.08,103.45,115.22,88.71,80.16,85.19,79.78,90.97,107.92,130.69,137.86,130.51,130.33,118.59,112.34,129.67,130.66,119.35,116.94
Egg,REGION X (NORTHERN MINDANAO),96.51,94.55,..,94.39,97.5,93.59,92.74,94.19,100,88.55,94.41,103.59,100.62,94.34,99.16,91.11,107.91,95.84,102.67,100,99.15,110.55,108.66,104.69,103.73,103,98.05,91.55,91.65,..
Egg,REGION XI (DAVAO REGION),111.76,94.65,..,..,..,91.55,106.22,102.88,92.67,90.03,95.79,82.49,83.82,89.91,95.7,102.02,105.95,98.64,102.9,118.79,105.91,115.94,126.46,132.14,124.32,105.39,95.58,101.67,112.77,109.29
Egg,REGION XII (SOCCSKSARGEN),108.62,108.63,..,107.41,102.07,97.63,112.03,115.1,101.45,96.96,98.59,94.43,96.39,96.28,100.55,106.94,102.64,93.33,92.13,94.22,93.68,..,..,..,..,..,..,..,..,..
Egg,REGION XIII (CARAGA),105.14,104.1,..,98.53,87.24,92.02,90.61,95.4,106.96,97.25,99.64,112.08,111.59,99.68,108.86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Egg,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),71.1,88,..,113.9,91.73,89.73,992.28,87.06,89.69,87.86,100.98,108.55,86.8,90.45,82.89,80.84,83.84,94.53,104.61,101.71,100.37,84.22,101.58,105.58,106.47,100.33,120.03,167.02,179.19,..
